Name,G,Snaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap,Year,Pos_FB,Pos_RB,Pos_TE,Pos_WR,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GB,Team_HOU,Team_IND,Team_JAX,Team_KC,Team_LAC,Team_LAR,Team_LV,Team_MIA,Team_MIN,Team_NE,Team_NO,Team_NYG,Team_NYJ,Team_OAK,Team_PHI,Team_PIT,Team_SD,Team_SEA,Team_SF,Team_TB,Team_TEN,Team_WAS
Stefon Diggs,19,2.7916099426322054,1.8577123135789948,1.8491347666213782,-0.5457143683311606,1.204891163010721,-0.038641497903411814,3.4885414790652187,0.7045441439897474,2020,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Woods,18,2.750029072821338,1.9040116581267201,1.994457940806403,-0.4177126406043782,0.594486255618154,-0.16111176464257035,2.1720464782616964,0.1710700141200616,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Evans,20,2.639146753325691,1.5543590081022987,1.5645207009533477,-0.5511228920379261,0.42683983739061804,-0.3560292314246115,2.89142328892957,0.4759123740455964,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Travis Kelce,18,2.625286463388735,1.7688175720473625,1.88478007349695,-0.5511228920379261,1.1705021541435345,-0.05761576458130953,3.7908214886709803,0.8569653239525147,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyreek Hill,18,2.614891245936018,1.759928097894199,1.876005844112194,-0.4567742007087954,0.8867928309892427,-0.08176483126227048,4.092747125463606,1.0093865039152823,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Thomas,17,2.601030955999062,2.0084629794263886,2.057522714509339,-0.5342963738391002,0.27208929748827704,-0.4026024314521789,1.137632236715133,-0.20998293578685676,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DeAndre Hopkins,16,2.47282327408222,1.9817945569668989,2.1485553443761845,-0.5451134212526312,0.9039873354228359,-0.15938683130821604,2.2145712158381228,0.3234911940828291,2020,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK Metcalf,17,2.469358201597981,1.9843873202615712,1.9346835031227518,-0.5511228920379261,0.630308139854807,-0.27438238693183914,2.8719327842070417,0.5521229640269801,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rob Gronkowski,20,2.4451026942083085,1.4010155789602325,1.4109716867201132,-0.5511228920379261,-0.03454603157747271,-0.5411720759786447,1.4083730659517122,-0.057561755824089456,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Terry McLaurin,16,2.3861964619762457,2.0221675854125154,2.063006607874811,-0.5391039504673363,0.690488905372384,-0.2393087424666341,1.7095899571180637,0.09485942413867805,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
